scenariusz,rok,ludnosc,udzial_65,dr_ekonomiczny,oadr
niski,2035,35011055,23.083717414399537,70.00959425405281,35.1716551167181
niski,2036,34722403,23.333569396104295,70.13183226554251,35.5611245617886
niski,2037,34424460,23.622723493701862,70.42482612558267,36.08486836114781
niski,2038,34122662,23.957398165477244,71.00271738803605,36.719409546612944
niski,2039,33813387,24.33622221873248,71.8337941619053,37.46896445081831
niski,2040,33501987,24.768136886925543,73.06539474417622,38.3550614884688
niski,2041,33186604,25.248326101700552,74.40348325544721,39.371894417380155
niski,2042,32868291,25.722587767036625,75.96001565145878,40.404955908593514
niski,2043,32546981,26.20899615850699,77.74957125884912,41.49350985112707
niski,2044,32223561,26.74560393868325,79.64670041592368,42.72477464905336
niski,2045,31896209,27.294328300896197,81.579765488332,44.01676122893433
niski,2046,31566534,27.81708311720254,83.4099910911176,45.27922178776446
niski,2047,31235792,28.423127545477318,85.34193964277826,46.77091825351901
niski,2048,30903279,29.096672880570374,87.42260313290036,48.46413369115849
niski,2049,30566824,29.72571831473234,89.42235485437008,50.085274208118456
niski,2050,30230939,30.318849837909433,91.41096715950768,51.64547066417396
niski,2051,29890441,30.82174665807039,93.21609488948707,52.994358335678825
niski,2052,29547421,31.264545897254454,94.7869217545485,54.194995321082395
niski,2053,29201849,31.695129989885228,96.22870297411464,55.36626094134854
niski,2054,28850792,32.090023733143966,97.49786317970087,56.43994675339844
niski,2055,28496170,32.48633763765446,98.56791688125917,57.5123814214626
niski,2056,28138020,32.859618409539834,99.47759281518206,58.51341232625793
niski,2057,27773754,33.14832053311915,100.06121319392842,59.26597106461104
niski,2058,27405404,33.388863743807605,100.38001815494437,59.86807286873793
niski,2059,27031341,33.57391333267557,100.45098864226738,60.298980785074555
niski,2060,26654317,33.68205983293438,100.30433060718079,60.49550568808719
wysoki,2022,37766327,19.47092975178656,70.35413921880452,29.895948371879495
wysoki,2023,37681808,20.04465921592722,71.40164337541691,30.931898175227722
wysoki,2024,37606666,20.563763881648004,72.24847935216738,31.86333847499647
wysoki,2025,37537527,20.98784770770861,72.78042501721589,32.61658684592946
wysoki,2026,37474852,21.331297052220513,72.96620935404955,33.24321950557384
wysoki,2027,37562724,21.55070010364531,73.09779731054286,33.66032586650693
wysoki,2028,37708334,21.721906356297787,73.26321568313202,34.02102923742847
wysoki,2029,37737462,21.9101909927064,73.52729723358009,34.37181597140958
wysoki,2030,37705506,22.08942375683806,73.74768331851087,34.68928976853396
wysoki,2031,37651315,22.25799019237442,74.13095041099481,34.9646343191816
wysoki,2032,37582061,22.416750906769057,74.48734270071908,35.18950578213941
wysoki,2033,37502829,22.582432381301153,74.93339854980422,35.450990901343864
wysoki,2034,37413872,22.7563669432557,75.38007623204643,35.7543806794839
wysoki,2035,37320730,22.96135150625403,75.8186856745624,36.16239127242282
wysoki,2036,37226457,23.196400345055668,76.52532658752413,36.66149214413397
wysoki,2037,37129719,23.470743207078947,77.43213002408996,37.30574058219178
wysoki,2038,37031078,23.782075693286593,78.64005664987428,38.02686263105421
wysoki,2039,36931578,24.137200419651712,80.14249233000382,38.853276317575904
wysoki,2040,36831484,24.53445264383048,82.06662153824131,39.786910003522365
wysoki,2041,36733211,24.976468841779173,83.97220314325068,40.84143062410073
wysoki,2042,36634717,25.406529003622435,85.99410185732043,41.89329814172843
wysoki,2043,36536049,25.84297771223156,88.15917680573548,42.98354020464292
wysoki,2044,36439873,26.32291556010637,90.36650695467067,44.1988313066782
wysoki,2045,36341052,26.80664555335382,92.5481263659845,45.44904754417976
